,JNAME,P0,DECJ,Flux,W50
351,J1847-0402,0.5978087541476929,-04:02:14.4,12.7,11.7
352,J1848-0123,0.6594320505300005,-01:23:58.33,30.0,9.1
353,J1848-1952,4.308189598568733,-19:52:30.8815,NaN,65.0
354,J1849-0636,1.451319471078245,-06:37:06.9048,4.9,3.7
355,J1850+1335,0.3455818980724517,+13:35:58.3967,1.9935669120119048,4.7
356,J1852-0635,0.524156765367366,-06:36:01.8,11.0,64.6
357,J1852-2610,0.33633713161997586,-26:10:12.6998,3.4887420960208333,8.2
358,J1854-1421,1.1465948471179677,-14:21:26.4217,4.0,6.6
359,J1855-0941,0.34540115992,-09:41:02,2.242762776013393,22.9
360,J1857+0212,0.41582305526331814,+02:12:41.1161,6.2,18.0
361,J1900-2600,0.6122092044382964,-26:00:43.8,38.0,22.5
362,J1900-7951,1.2791931935,-79:51:48.2,NaN,30.0
363,J1901+0331,0.6554502394904106,+03:31:05.97,26.0,6.2
364,J1901+0716,0.6439986635060188,+07:16:34.8085,2.242762776013393,11.0
365,J1901-0906,1.7819277623429401,-09:06:11.146,7.0,10.0
366,J1902+0556,0.7465773564335665,+05:56:25.9227,2.990350368017857,11.0
367,J1902+0615,0.6735033169298381,+06:16:33.41,3.9871338240238097,3.4
368,J1902-5105,0.001742399949905645,-51:05:56.9695,2.990350368017857,NaN
369,J1903+0135,0.7293069607464464,+01:35:38.53,19.0,4.4
370,J1903-0632,0.43188708466061554,-06:32:21.9385,5.5,6.4
371,J1904+0004,0.13952466658865756,+00:04:05.29,7.226680056043155,7.1
372,J1905-0056,0.6431812595583022,-00:56:40.9526,1.7443710480104166,3.2
373,J1909+0007,1.0169483619839526,+00:07:57.7749,3.2,2.7
374,J1909+0254,0.9898312072104777,+02:54:50.6761,4.2,3.4
375,J1909+1102,0.2836413311242079,+11:02:03.3509,10.0,5.0
376,J1909-3744,0.0029471080691607166,-37:44:14.46674,3.2,7.0
377,J1910+0358,2.3302628205210025,+03:58:28.029,3.7379379600223217,265.0
